ACCURACY IS:  0.9139784946236559
PRECISION IS: 0.8888888888888888
RECALL IS:    0.9302325581395349
F1 Score IS:  0.9090909090909092
(TRAIN) EPOCH-0 | ITER-0 | LOSS-0.69492 | ACC-0.5
(TRAIN) EPOCH-0 | ITER-25 | LOSS-0.33389 | ACC-0.84375
(VAL)   EPOCH-0 | ITER-0 | LOSS-0.25454 | ACC-0.90625
(VAL)   EPOCH-0 | ITER-10 | LOSS-0.48491 | ACC-0.75
(TRAIN) EPOCH-1 | ITER-0 | LOSS-0.26101 | ACC-0.90625
(TRAIN) EPOCH-1 | ITER-25 | LOSS-0.11625 | ACC-0.96875
(VAL)   EPOCH-1 | ITER-0 | LOSS-0.20303 | ACC-0.96875
(VAL)   EPOCH-1 | ITER-10 | LOSS-0.34351 | ACC-0.84375
(TRAIN) EPOCH-2 | ITER-0 | LOSS-0.22839 | ACC-0.90625
(TRAIN) EPOCH-2 | ITER-25 | LOSS-0.11148 | ACC-0.96875
(VAL)   EPOCH-2 | ITER-0 | LOSS-0.2142 | ACC-0.90625
(VAL)   EPOCH-2 | ITER-10 | LOSS-0.10215 | ACC-1.0
